,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,Indicadora
11,"Bahamas, The",7,2,10.9,0,13645323662,59,106,44,92,92,92,98.4,98.4,98.4,2367048074,382061313,6.3,0.151994427,660,6,80,56.89806865,9.9,9.2,10.6,6.9,12.1,11.2,12.9,57,5,40,70,27.4,66.21412289,78.47684491,8,1412538212,1977659120,256485635.2,1738664237,1257711417,1147814478,8754351018,199219621.1,1111206178,2080436850,238599682.4,2523744352,4058094841,495085279.4,162726472.1,192748007.6,32970375.36,3049205263,9021472499,1489901451,6235978720,663030946.6,0,16,7,0,13.15789474,0,63.26745511,8,6,19,180,427,67,122,28.5,58,3,33.7,Bien
12,Bahrain,6,8,0.8,7,13645323662,66.81,65,9,99.2,99.2,99.2,100,100,100,2367048074,382061313,13.5,0.033687911,3000,3,15,56.89806865,5.3,5.1,5.4,1.1,6.2,5.9,6.4,115,3,24,135,0,66.21412289,78.47684491,0,1412538212,1977659120,256485635.2,1738664237,1257711417,1147814478,8754351018,199219621.1,1111206178,2080436850,238599682.4,2523744352,4058094841,495085279.4,162726472.1,192748007.6,32970375.36,3049205263,9021472499,1489901451,6235978720,663030946.6,29,8,2,0,7.5,0,63.26745511,7,1,13,145,635,85,31,9,60,2.5,13.5,Bien
13,Bangladesh,33,6,13.9,0,2708726000,43.1,174,21,60.6,62.1,57.7,86.9,87,86.5,231416000,0,15.80086321,0.421170638,240,33,176,60,30.7,28,33.3,23.3,37.6,34.7,40.4,97478,5500,74378,119326,8.70189086,76.6667,90.0001,21,285637000,897917000,47521000,0,0,0,0,0,632987000,1810809000,183460000,918624000,2708726000,230981000,1684000,0,435000,1684000,0,435000,920308000,0,0,13.4,8,15.82828818,20,0.9,80,9,6,21,269,1442,428.9,244,19.5,302,4,31.6,Mal
14,Barbados,2,2,7.1,0,13645323662,56.85,119,29,96.2,96.2,96.2,99.7,99.7,99.7,2367048074,382061313,12.2,0.047252921,2100,3,27,56.89806865,12,11,13,8,13,11.8,14.1,41,1,27,44,3,66.21412289,78.47684491,3,1412538212,1977659120,256485635.2,1738664237,1257711417,1147814478,8754351018,199219621.1,1111206178,2080436850,238599682.4,2523744352,4058094841,495085279.4,162726472.1,192748007.6,32970375.36,3049205263,9021472499,1489901451,6235978720,663030946.6,0,9,6,19.5,16.66666667,0,63.26745511,8,7,28,442,1340,87,118,18,237,1.8,34.7,Bien
15,Belarus,9,7,0.9,6,3811979000,72.33,44,2,94.3,95.2,94.1,99.7,99.1,99.9,573300000,629000,39,0.007220806,13800,3,4,90,3.4,2.9,3.8,1.9,4.6,3.9,5.1,428,5,239,567,1.1,87.77776667,93.3333,1,608713000,2555073000,229336000,1000000000,115348000,794481000,951262000,104861000,463633000,241122000,123056000,1072346000,2796195000,352392000,5686000,24324000,70000,1800167000,975586000,220279000,2872513000,0,0,16,2,11.7,27.27272727,66.9,80,3,2,7,115,275,112,3,3,176,3,51.8,Bien
16,Belgium,8,8,4.8,5,13645323662,72.5,43,13,99.5,99.4,99.5,100,100,100,2367048074,382061313,49.4,0.012565669,8000,2,7,56.89806865,3.3,2.9,3.6,2.2,4.1,3.7,4.6,417,9,278,522,0.6,66.21412289,78.47684491,1,1412538212,1977659120,256485635.2,1738664237,1257711417,1147814478,8754351018,199219621.1,1111206178,2080436850,238599682.4,2523744352,4058094841,495085279.4,162726472.1,192748007.6,32970375.36,3049205263,9021472499,1489901451,6235978720,663030946.6,0,10,8,8.4,39.33333333,96.3,63.26745511,3,4,11,212,505,88,56,4,161,0.9,58.4,Bien
17,Belize,5,3,40.7,0,45940000,56.83,120,43,90.5,88.2,93.5,99.5,100,98.9,36533000,0,5,0.079141229,1300,9,28,40,14.2,12.7,15.6,8.3,16.5,14.8,18.2,120,2,70,138,1.4,54.44446667,83.3334,36,10235000,18066000,1931000,22892000,26086000,4688000,0,758000,33435000,27874000,7758000,43670000,45940000,9689000,0,0,0,27580000,0,26844000,71250000,0,0,15,9,24.7,3.125,0,40,9,4,29,109,892,66,60,43,147,2,31.1,Bien
18,Benin,10,7,45.3,0,362770000,47.15,158,38,19.7,7.3,35.6,77.9,72.1,85.2,19697000,0,26.4,1.974065932,51,12,405,40,64.2,59.2,68.9,31.8,99.5,94.6,104,24069,1600,11955,37092,21,66.66666667,80,17,28067000,92186000,4111000,0,0,0,7996000,0,47239000,262588000,15586000,75306000,354774000,19697000,0,0,0,0,7996000,0,75306000,0,0,13,4,15.9,7.228915663,0.6,80,7,6,57,88,750,90,120,12,270,4,63.3,Mal
19,Bhutan,20,4,4,6,418512000,65.21,71,3,50.4,33.1,77.9,100,100,100,66665000,0,0,0.324892974,310,26,148,50,27.2,24.3,30,18.3,32.9,29.5,36.2,335,20,226,414,1.4,68.8889,86.6667,18,183807000,401516000,58546000,0,0,5006000,0,2888000,11267000,16996000,5231000,195074000,418512000,63777000,0,0,0,5006000,0,2888000,200080000,0,23.2,21,3,33.9,8.510638298,0,70,8,4,18,151,225,61,77,15,85,2.591785792,35.3,Mal
20,Bolivia,55,1,57.9,7,643946000,47.47,157,0,50.3,27.5,60.8,90,75.6,96.7,127005000,0,18.8,0.643990641,160,21,206,60,30.6,27.3,33.8,19.6,38.4,34.7,41.9,7504,520,4823,9415,64.9,78.8889,96.6667,99,94041000,143068000,15611000,0,54122000,2198000,14554000,154000,216916000,486324000,57118000,310957000,629392000,72729000,0,0,0,2198000,14554000,54276000,313155000,0,43.2,12,7,0,53.07692308,15,80,15,0,42,275,591,42,91,50,1025,1.8,83.7,Bien
